Time,Execution Time
Thu Nov 26 13:05:57 2020,0.31735706329345703
Thu Nov 26 13:05:58 2020,0.2793080806732178
Thu Nov 26 13:06:00 2020,0.40850186347961426
Thu Nov 26 13:06:01 2020,0.3085060119628906
Thu Nov 26 13:06:02 2020,0.30476975440979004
Thu Nov 26 13:06:04 2020,0.2827920913696289
Thu Nov 26 13:06:05 2020,0.29574131965637207
Thu Nov 26 13:06:07 2020,0.4083681106567383
Thu Nov 26 13:06:08 2020,0.41701817512512207
Thu Nov 26 13:06:10 2020,0.31050896644592285
Thu Nov 26 13:06:11 2020,0.3012259006500244
Thu Nov 26 13:06:12 2020,0.30601072311401367
Thu Nov 26 13:06:14 2020,0.2785348892211914
Thu Nov 26 13:06:15 2020,0.30584120750427246
Thu Nov 26 13:06:17 2020,0.3057231903076172
Thu Nov 26 13:06:18 2020,0.36853504180908203
Thu Nov 26 13:06:19 2020,0.2782440185546875
Thu Nov 26 13:06:21 2020,0.3850061893463135
Thu Nov 26 13:06:22 2020,0.4050741195678711
Thu Nov 26 13:06:24 2020,0.30597925186157227
Thu Nov 26 13:06:25 2020,0.3063468933105469
Thu Nov 26 13:06:27 2020,0.3134579658508301
Thu Nov 26 13:06:28 2020,0.3059818744659424
Thu Nov 26 13:06:30 2020,0.40766096115112305
Thu Nov 26 13:06:31 2020,0.41164708137512207
Thu Nov 26 13:06:33 2020,0.40786004066467285
Thu Nov 26 13:06:34 2020,0.2824277877807617
Thu Nov 26 13:06:36 2020,0.2808399200439453
Thu Nov 26 13:06:37 2020,0.2852621078491211
Thu Nov 26 13:06:38 2020,0.3071417808532715
Thu Nov 26 13:06:40 2020,0.3059520721435547
Thu Nov 26 13:06:41 2020,0.40096211433410645
Thu Nov 26 13:06:43 2020,0.4079759120941162
Thu Nov 26 13:06:45 2020,0.4143350124359131
Thu Nov 26 13:06:46 2020,0.2828788757324219
Thu Nov 26 13:06:47 2020,0.41192102432250977
Thu Nov 26 13:06:49 2020,0.3877990245819092
Thu Nov 26 13:06:50 2020,0.2778890132904053
Thu Nov 26 13:06:52 2020,0.30574893951416016
Thu Nov 26 13:06:53 2020,0.3059968948364258
Thu Nov 26 13:06:55 2020,0.30617785453796387
Thu Nov 26 13:06:56 2020,0.40247106552124023
Thu Nov 26 13:06:58 2020,0.5108110904693604
Thu Nov 26 13:06:59 2020,0.38919615745544434
Thu Nov 26 13:07:01 2020,0.38346004486083984
Thu Nov 26 13:07:02 2020,0.29779815673828125
Thu Nov 26 13:07:04 2020,0.4092061519622803
Thu Nov 26 13:07:05 2020,0.29694199562072754
Thu Nov 26 13:07:06 2020,0.3952052593231201
Thu Nov 26 13:07:08 2020,0.4083287715911865
Thu Nov 26 13:07:10 2020,0.5365841388702393
Thu Nov 26 13:07:11 2020,0.3200500011444092
Thu Nov 26 13:07:12 2020,0.2771010398864746
Thu Nov 26 13:07:14 2020,0.3057711124420166
Thu Nov 26 13:07:15 2020,0.42151618003845215
Thu Nov 26 13:07:16 2020,0.31848883628845215
Thu Nov 26 13:07:18 2020,0.40976715087890625
Thu Nov 26 13:07:19 2020,0.3058910369873047
Thu Nov 26 13:07:21 2020,0.3059530258178711
Thu Nov 26 13:07:22 2020,0.4063451290130615
Thu Nov 26 13:07:24 2020,0.4073202610015869
Thu Nov 26 13:07:25 2020,0.32821106910705566
Thu Nov 26 13:07:27 2020,0.301649808883667
Thu Nov 26 13:07:28 2020,0.30776381492614746
Thu Nov 26 13:07:29 2020,0.3021829128265381
Thu Nov 26 13:07:31 2020,0.4041421413421631
Thu Nov 26 13:07:32 2020,0.3059561252593994
Thu Nov 26 13:07:34 2020,0.30349302291870117
Thu Nov 26 13:07:35 2020,0.30573391914367676
Thu Nov 26 13:07:37 2020,0.30691099166870117
Thu Nov 26 13:07:38 2020,0.3044898509979248
Thu Nov 26 13:07:39 2020,0.2746591567993164
Thu Nov 26 13:07:41 2020,0.30562734603881836
Thu Nov 26 13:07:42 2020,0.30541491508483887
Thu Nov 26 13:07:43 2020,0.3057999610900879
Thu Nov 26 13:07:45 2020,0.29540038108825684
Thu Nov 26 13:07:46 2020,0.3056609630584717
Thu Nov 26 13:07:48 2020,0.3070690631866455
Thu Nov 26 13:07:49 2020,0.2762150764465332
Thu Nov 26 13:07:50 2020,0.3031008243560791
Thu Nov 26 13:07:52 2020,0.30612778663635254
Thu Nov 26 13:07:53 2020,0.40322327613830566
Thu Nov 26 13:07:55 2020,0.31699490547180176
Thu Nov 26 13:07:57 2020,0.6687607765197754
Thu Nov 26 13:07:58 2020,0.40814828872680664
Thu Nov 26 13:08:00 2020,0.40813112258911133
Thu Nov 26 13:08:01 2020,0.3049321174621582
Thu Nov 26 13:08:02 2020,0.3059399127960205
Thu Nov 26 13:08:04 2020,0.40867090225219727
Thu Nov 26 13:08:05 2020,0.3973557949066162
Thu Nov 26 13:08:07 2020,0.3060131072998047
Thu Nov 26 13:08:08 2020,0.276914119720459
Thu Nov 26 13:08:10 2020,0.4161648750305176
Thu Nov 26 13:08:11 2020,0.35315370559692383
Thu Nov 26 13:08:13 2020,0.3141520023345947
Thu Nov 26 13:08:14 2020,0.3050220012664795
Thu Nov 26 13:08:15 2020,0.30587005615234375
Thu Nov 26 13:08:17 2020,0.30651092529296875
Thu Nov 26 13:08:18 2020,0.33997488021850586
Thu Nov 26 13:08:20 2020,0.3055880069732666
Thu Nov 26 13:08:21 2020,0.3807199001312256
Thu Nov 26 13:08:23 2020,0.30536675453186035
Thu Nov 26 13:08:24 2020,0.3057222366333008
Thu Nov 26 13:08:26 2020,0.30585694313049316
Thu Nov 26 13:08:27 2020,0.30585217475891113
Thu Nov 26 13:08:28 2020,0.30581188201904297
Thu Nov 26 13:08:30 2020,0.27666425704956055
Thu Nov 26 13:08:31 2020,0.3049449920654297
Thu Nov 26 13:08:33 2020,0.30576109886169434
Thu Nov 26 13:08:34 2020,0.3030660152435303
Thu Nov 26 13:08:35 2020,0.28188610076904297
Thu Nov 26 13:08:37 2020,0.3055419921875
Thu Nov 26 13:08:38 2020,0.28512001037597656
Thu Nov 26 13:08:40 2020,0.3057057857513428
Thu Nov 26 13:08:41 2020,0.27634119987487793
Thu Nov 26 13:08:42 2020,0.30789995193481445
Thu Nov 26 13:08:44 2020,0.4072880744934082
Thu Nov 26 13:08:45 2020,0.30571985244750977
Thu Nov 26 13:08:47 2020,0.38980817794799805
Thu Nov 26 13:08:48 2020,0.40810704231262207
Thu Nov 26 13:08:50 2020,0.47206568717956543
Thu Nov 26 13:08:51 2020,0.2983088493347168
Thu Nov 26 13:08:53 2020,0.3057990074157715
Thu Nov 26 13:08:54 2020,0.2757582664489746
Thu Nov 26 13:08:55 2020,0.2860438823699951
Thu Nov 26 13:08:57 2020,0.3059120178222656
Thu Nov 26 13:08:58 2020,0.30594515800476074
Thu Nov 26 13:09:00 2020,0.3001720905303955
Thu Nov 26 13:09:01 2020,0.30599498748779297
Thu Nov 26 13:09:02 2020,0.30510592460632324
Thu Nov 26 13:09:04 2020,0.308560848236084
Thu Nov 26 13:09:05 2020,0.40818190574645996
Thu Nov 26 13:09:07 2020,0.3058350086212158
Thu Nov 26 13:09:08 2020,0.3823659420013428
Thu Nov 26 13:09:10 2020,0.3059661388397217
Thu Nov 26 13:09:11 2020,0.306445837020874
Thu Nov 26 13:09:13 2020,0.3059389591217041
Thu Nov 26 13:09:14 2020,0.2807598114013672
Thu Nov 26 13:09:15 2020,0.3055989742279053
Thu Nov 26 13:09:17 2020,0.3051598072052002
Thu Nov 26 13:09:18 2020,0.3058969974517822
Thu Nov 26 13:09:20 2020,0.30584287643432617
Thu Nov 26 13:09:21 2020,0.5356738567352295
Thu Nov 26 13:09:23 2020,0.30623936653137207
Thu Nov 26 13:09:24 2020,0.305983304977417
Thu Nov 26 13:09:25 2020,0.3004131317138672
Thu Nov 26 13:09:27 2020,0.305753231048584
Thu Nov 26 13:09:28 2020,0.27948808670043945
Thu Nov 26 13:09:30 2020,0.3060150146484375
Thu Nov 26 13:09:31 2020,0.27248620986938477
Thu Nov 26 13:09:32 2020,0.4079098701477051
Thu Nov 26 13:09:34 2020,0.30609893798828125
Thu Nov 26 13:09:35 2020,0.30582714080810547
Thu Nov 26 13:09:37 2020,0.2686588764190674
Thu Nov 26 13:09:38 2020,0.3061230182647705
Thu Nov 26 13:09:40 2020,0.2953169345855713
Thu Nov 26 13:09:41 2020,0.3085949420928955
Thu Nov 26 13:09:42 2020,0.30499792098999023
Thu Nov 26 13:09:44 2020,0.40865111351013184
Thu Nov 26 13:09:45 2020,0.28128790855407715
Thu Nov 26 13:09:47 2020,0.40554308891296387
Thu Nov 26 13:09:48 2020,0.3976008892059326
Thu Nov 26 13:09:50 2020,0.3160867691040039
Thu Nov 26 13:09:51 2020,0.5010659694671631
Thu Nov 26 13:09:53 2020,0.3056468963623047
Thu Nov 26 13:09:54 2020,0.31065893173217773
Thu Nov 26 13:09:56 2020,0.40659618377685547
Thu Nov 26 13:09:57 2020,0.408174991607666
Thu Nov 26 13:09:59 2020,0.3059060573577881
Thu Nov 26 13:10:00 2020,0.30748486518859863
Thu Nov 26 13:10:01 2020,0.3057210445404053
Thu Nov 26 13:10:03 2020,0.3578670024871826
Thu Nov 26 13:10:04 2020,0.3059680461883545
Thu Nov 26 13:10:06 2020,0.30578088760375977
Thu Nov 26 13:10:07 2020,0.3066542148590088
Thu Nov 26 13:10:09 2020,0.3997011184692383
Thu Nov 26 13:10:10 2020,0.3058638572692871
Thu Nov 26 13:10:12 2020,0.2769150733947754
Thu Nov 26 13:10:13 2020,0.3056149482727051
Thu Nov 26 13:10:14 2020,0.30591821670532227
Thu Nov 26 13:10:16 2020,0.3061051368713379
Thu Nov 26 13:10:17 2020,0.4081909656524658
Thu Nov 26 13:10:19 2020,0.30619287490844727
Thu Nov 26 13:10:20 2020,0.38693785667419434
Thu Nov 26 13:10:22 2020,0.30578184127807617
Thu Nov 26 13:10:23 2020,0.31763410568237305
Thu Nov 26 13:10:24 2020,0.30849218368530273
Thu Nov 26 13:10:26 2020,0.30611276626586914
Thu Nov 26 13:10:27 2020,0.3058741092681885
Thu Nov 26 13:10:29 2020,0.39345431327819824
Thu Nov 26 13:10:30 2020,0.30588197708129883
Thu Nov 26 13:10:32 2020,0.30519771575927734
Thu Nov 26 13:10:33 2020,0.408707857131958
Thu Nov 26 13:10:34 2020,0.27720069885253906
Thu Nov 26 13:10:36 2020,0.3522989749908447
Thu Nov 26 13:10:37 2020,0.3049459457397461
Thu Nov 26 13:10:39 2020,0.3058631420135498
Thu Nov 26 13:10:40 2020,0.2751469612121582
Thu Nov 26 13:10:41 2020,0.3057289123535156
Thu Nov 26 13:10:43 2020,0.305941104888916
Thu Nov 26 13:10:45 2020,0.3088109493255615
Thu Nov 26 13:10:46 2020,0.2730600833892822
Thu Nov 26 13:10:47 2020,0.4002218246459961
Thu Nov 26 13:10:49 2020,0.3071138858795166
Thu Nov 26 13:10:50 2020,0.30585789680480957
Thu Nov 26 13:10:52 2020,0.40741991996765137
Thu Nov 26 13:10:53 2020,0.27564001083374023
Thu Nov 26 13:10:55 2020,0.3043336868286133
Thu Nov 26 13:10:56 2020,0.40347719192504883
Thu Nov 26 13:10:58 2020,0.4040367603302002
Thu Nov 26 13:10:59 2020,0.4066770076751709
Thu Nov 26 13:11:01 2020,0.30617809295654297
Thu Nov 26 13:11:02 2020,0.3292579650878906
Thu Nov 26 13:11:04 2020,0.3811979293823242
Thu Nov 26 13:11:05 2020,0.3858959674835205
Thu Nov 26 13:11:07 2020,0.3084700107574463
Thu Nov 26 13:11:08 2020,0.3560779094696045
Thu Nov 26 13:11:09 2020,0.3059580326080322
Thu Nov 26 13:11:11 2020,0.3062899112701416
Thu Nov 26 13:11:12 2020,0.38625097274780273
Thu Nov 26 13:11:14 2020,0.3057518005371094
Thu Nov 26 13:11:15 2020,0.30591320991516113
Thu Nov 26 13:11:17 2020,0.35514187812805176
Thu Nov 26 13:11:18 2020,0.3054509162902832
Thu Nov 26 13:11:20 2020,0.3083798885345459
Thu Nov 26 13:11:21 2020,0.30750226974487305
Thu Nov 26 13:11:23 2020,0.40587902069091797
Thu Nov 26 13:11:24 2020,0.3121311664581299
Thu Nov 26 13:11:25 2020,0.3998830318450928
Thu Nov 26 13:11:27 2020,0.3057889938354492
Thu Nov 26 13:11:28 2020,0.3067910671234131
Thu Nov 26 13:11:30 2020,0.30617308616638184
Thu Nov 26 13:11:32 2020,0.6233189105987549
Thu Nov 26 13:11:33 2020,0.3055911064147949
Thu Nov 26 13:11:34 2020,0.3043680191040039
Thu Nov 26 13:11:36 2020,0.30530619621276855
Thu Nov 26 13:11:37 2020,0.27438998222351074
Thu Nov 26 13:11:38 2020,0.30580997467041016
Thu Nov 26 13:11:40 2020,0.408297061920166
Thu Nov 26 13:11:41 2020,0.3066542148590088
Thu Nov 26 13:11:43 2020,0.2758312225341797
Thu Nov 26 13:11:44 2020,0.3019700050354004
Thu Nov 26 13:11:46 2020,0.3059399127960205
Thu Nov 26 13:11:47 2020,0.30584001541137695
Thu Nov 26 13:11:48 2020,0.2736392021179199
Thu Nov 26 13:11:50 2020,0.3072969913482666
Thu Nov 26 13:11:51 2020,0.39211606979370117
Thu Nov 26 13:11:53 2020,0.2864549160003662
Thu Nov 26 13:11:54 2020,0.3265058994293213
Thu Nov 26 13:11:55 2020,0.305743932723999
Thu Nov 26 13:11:57 2020,0.3057739734649658
Thu Nov 26 13:11:58 2020,0.41021299362182617
Thu Nov 26 13:12:00 2020,0.40564823150634766
Thu Nov 26 13:12:02 2020,0.4082491397857666
Thu Nov 26 13:12:03 2020,0.4083828926086426
Thu Nov 26 13:12:05 2020,0.4082040786743164
Thu Nov 26 13:12:06 2020,0.30573368072509766
Thu Nov 26 13:12:07 2020,0.3057992458343506
Thu Nov 26 13:12:09 2020,0.4032721519470215
Thu Nov 26 13:12:10 2020,0.2745978832244873
Thu Nov 26 13:12:12 2020,0.3188457489013672
Thu Nov 26 13:12:13 2020,0.3059368133544922
Thu Nov 26 13:12:15 2020,0.275068998336792
Thu Nov 26 13:12:16 2020,0.3060920238494873
Thu Nov 26 13:12:17 2020,0.37766599655151367
Thu Nov 26 13:12:19 2020,0.4024372100830078
Thu Nov 26 13:12:20 2020,0.3071599006652832
Thu Nov 26 13:12:22 2020,0.3260951042175293
Thu Nov 26 13:12:23 2020,0.40822291374206543
Thu Nov 26 13:12:25 2020,0.30642080307006836
Thu Nov 26 13:12:26 2020,0.30607104301452637
Thu Nov 26 13:12:28 2020,0.31046080589294434
Thu Nov 26 13:12:29 2020,0.3038291931152344
Thu Nov 26 13:12:30 2020,0.30603599548339844
Thu Nov 26 13:12:32 2020,0.2804429531097412
Thu Nov 26 13:12:33 2020,0.40925097465515137
Thu Nov 26 13:12:35 2020,0.3032660484313965
Thu Nov 26 13:12:36 2020,0.2762870788574219
Thu Nov 26 13:12:38 2020,0.27512383460998535
Thu Nov 26 13:12:39 2020,0.2979881763458252
Thu Nov 26 13:12:40 2020,0.3059360980987549
Thu Nov 26 13:12:42 2020,0.305880069732666
Thu Nov 26 13:12:43 2020,0.40334296226501465
Thu Nov 26 13:12:45 2020,0.3056190013885498
Thu Nov 26 13:12:46 2020,0.30371809005737305
Thu Nov 26 13:12:48 2020,0.30604982376098633
Thu Nov 26 13:12:49 2020,0.30582714080810547
Thu Nov 26 13:12:50 2020,0.3059120178222656
Thu Nov 26 13:12:52 2020,0.30751681327819824
Thu Nov 26 13:12:53 2020,0.30600595474243164
Thu Nov 26 13:12:55 2020,0.305279016494751
Thu Nov 26 13:12:56 2020,0.28215575218200684
Thu Nov 26 13:12:58 2020,0.3137691020965576
Thu Nov 26 13:12:59 2020,0.30587077140808105
Thu Nov 26 13:13:00 2020,0.3044891357421875
Thu Nov 26 13:13:02 2020,0.3058750629425049
Thu Nov 26 13:13:03 2020,0.3053269386291504
Thu Nov 26 13:13:05 2020,0.38816094398498535
Thu Nov 26 13:13:06 2020,0.30507707595825195
Thu Nov 26 13:13:08 2020,0.27742719650268555
Thu Nov 26 13:13:09 2020,0.310122013092041
Thu Nov 26 13:13:11 2020,0.27411723136901855
Thu Nov 26 13:13:12 2020,0.3516991138458252
Thu Nov 26 13:13:14 2020,0.3058888912200928
Thu Nov 26 13:13:15 2020,0.2991962432861328
Thu Nov 26 13:13:16 2020,0.3053450584411621
Thu Nov 26 13:13:18 2020,0.5126931667327881
Thu Nov 26 13:13:19 2020,0.3243598937988281
Thu Nov 26 13:13:21 2020,0.3976001739501953
Thu Nov 26 13:13:22 2020,0.3226187229156494
Thu Nov 26 13:13:24 2020,0.30585336685180664
Thu Nov 26 13:13:25 2020,0.30484914779663086
Thu Nov 26 13:13:27 2020,0.3076159954071045
Thu Nov 26 13:13:28 2020,0.3056216239929199
Thu Nov 26 13:13:30 2020,0.2725980281829834
Thu Nov 26 13:13:31 2020,0.585745096206665
Thu Nov 26 13:13:33 2020,0.33084607124328613
Thu Nov 26 13:13:34 2020,0.3071129322052002
Thu Nov 26 13:13:36 2020,0.3503451347351074
Thu Nov 26 13:13:37 2020,0.2737159729003906
Thu Nov 26 13:13:39 2020,0.4084889888763428
Thu Nov 26 13:13:40 2020,0.4053061008453369
Thu Nov 26 13:13:42 2020,0.3058452606201172
Thu Nov 26 13:13:43 2020,0.3056337833404541
Thu Nov 26 13:13:44 2020,0.29285717010498047
Thu Nov 26 13:13:46 2020,0.3057858943939209
Thu Nov 26 13:13:47 2020,0.327603816986084
Thu Nov 26 13:13:49 2020,0.41101813316345215
Thu Nov 26 13:13:50 2020,0.3057999610900879
Thu Nov 26 13:13:52 2020,0.6266758441925049
Thu Nov 26 13:13:53 2020,0.30591487884521484
Thu Nov 26 13:13:55 2020,0.3142569065093994
Thu Nov 26 13:13:56 2020,0.30632901191711426
